                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6275,                 3.5132,                 1.5381,                      1,                0.03781,                0.19814,                 0.1082,                 1.3299,                  3.248,                 1.3349,             0.00046922,             0.00046922,             0.00046922
                      2,                 1.5861,                 2.4916,                   1.45,                0.49875,                0.42623,                0.42294,                0.23711,                 1.5098,                 2.1927,                  1.427,              0.0009362,              0.0009362,              0.0009362
                      3,                 1.5508,                 2.1125,                 1.4261,                0.46831,                0.49997,                0.44846,                0.24424,                 1.4344,                 2.2056,                 1.3966,              0.0013937,              0.0013937,              0.0013937
                      4,                 1.5156,                 1.9306,                 1.4308,                0.60725,                0.51009,                0.54674,                0.31521,                 1.4319,                 1.7676,                 1.3411,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.4328,                 1.8111,                 1.3758,                0.70577,                0.50046,                0.57485,                 0.3032,                 1.5974,                 1.8524,                 1.5847,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.4136,                 1.7572,                 1.3941,                0.73941,                 0.5623,                0.63467,                0.37015,                 1.4668,                 1.6381,                  1.471,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.4223,                 1.6714,                  1.397,                 0.6311,                0.61141,                0.65411,                0.38609,                 1.3674,                 1.3779,                  1.387,              0.0013441,              0.0013441,              0.0013441
                      8,                  1.374,                  1.524,                  1.318,                0.64365,                0.61154,                0.64043,                0.37466,                  1.455,                 1.4266,                 1.4506,                0.00133,                0.00133,                0.00133
                      9,                 1.3333,                 1.4707,                 1.3064,                0.66753,                0.62798,                 0.6925,                0.40402,                 1.4034,                 1.4267,                 1.3723,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.3084,                 1.4248,                 1.2903,                0.70244,                 0.6259,                0.68272,                0.41226,                 1.3609,                 1.3223,                 1.4419,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2587,                 1.3603,                 1.3077,                0.80137,                0.64509,                0.73961,                0.44319,                 1.3342,                 1.2014,                 1.3825,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2636,                 1.3416,                  1.274,                0.75181,                0.65039,                0.70251,                0.43124,                 1.2911,                 1.1679,                 1.3581,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.2452,                 1.2543,                 1.2549,                0.79077,                 0.6614,                0.72962,                0.45004,                 1.2389,                 1.1608,                 1.2889,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.2778,                 1.2702,                 1.2755,                0.68226,                 0.6253,                0.65195,                0.39248,                 1.3537,                 1.2234,                 1.3423,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.2114,                 1.1361,                 1.2271,                0.74439,                0.67557,                0.72857,                0.44864,                 1.2951,                 1.0843,                 1.3064,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1777,                 1.1536,                 1.2215,                0.78636,                0.62402,                 0.7215,                0.43619,                 1.3548,                 1.2174,                  1.393,              0.0012168,              0.0012168,              0.0012168
                     17,                  1.151,                 1.0914,                 1.1977,                0.80076,                0.61987,                 0.7176,                0.44777,                 1.3274,                 1.1577,                 1.3565,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.1333,                 1.0692,                 1.1953,                0.74148,                0.71117,                0.76803,                0.46545,                 1.2901,                 1.0389,                 1.3408,              0.0011885,              0.0011885,              0.0011885
